2016/05/09 11:46:14 WARN  - jmeter.util.JMeterUtils: Interrupted in thread Usuario de JMeter 1-3 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1313)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1322)
	at org.apache.jmeter.visualizers.GraphVisualizer.add(GraphVisualizer.java:134)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:595)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:571)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:796)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:456)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:261)
	at java.lang.Thread.run(Thread.java:745)

2016/05/09 11:46:14 INFO  - jmeter.threads.JMeterThread: Thread finished: Usuario de JMeter 1-7 
2016/05/09 11:46:14 INFO  - jmeter.threads.JMeterThread: Thread finished: Usuario de JMeter 1-3 
2016/05/09 11:46:14 WARN  - jmeter.util.JMeterUtils: Interrupted in thread Usuario de JMeter 1-27 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1313)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1322)
	at org.apache.jmeter.visualizers.GraphVisualizer.add(GraphVisualizer.java:134)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:595)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:571)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:796)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:456)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:261)
	at java.lang.Thread.run(Thread.java:745)

2016/05/09 11:46:14 INFO  - jmeter.threads.JMeterThread: Stopping: Usuario de JMeter 1-11 
2016/05/09 11:46:14 INFO  - jmeter.threads.JMeterThread: Thread finished: Usuario de JMeter 1-27 
2016/05/09 11:46:14 WARN  - jmeter.threads.JMeterThread: Interrupting: Usuario de JMeter 1-11 sampler: Pagina de inicio 
2016/05/09 11:46:14 INFO  - jmeter.threads.JMeterThread: Stopping: Usuario de JMeter 1-13 
2016/05/09 11:46:14 WARN  - jmeter.threads.JMeterThread: Interrupting: Usuario de JMeter 1-13 sampler: Pagina de inicio 
2016/05/09 11:46:14 INFO  - jmeter.threads.JMeterThread: Stopping: Usuario de JMeter 1-17 
2016/05/09 11:46:14 WARN  - jmeter.threads.JMeterThread: Interrupting: Usuario de JMeter 1-17 sampler: Pagina de inicio 
2016/05/09 11:46:14 WARN  - jmeter.util.JMeterUtils: Interrupted in thread Usuario de JMeter 1-11 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1313)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1322)
	at org.apache.jmeter.visualizers.GraphVisualizer.add(GraphVisualizer.java:134)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:595)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:571)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:796)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:456)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:261)
	at java.lang.Thread.run(Thread.java:745)

2016/05/09 11:46:14 INFO  - jmeter.threads.JMeterThread: Stopping: Usuario de JMeter 1-32 
